date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:49	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202014%2009:09:48%20GMT	http://opensource.adobe.com/robots.txt		(from )
11:09:49	1176/1176	---M--	200	added ('OK')	text/html	etag:W/%2217423//flexpmd/bin%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/index.html	(from )
11:09:49	199/199	---M--	200	added ('OK')	text/plain	etag:%229632//flexpmd/bin/.project%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/.project	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/.project	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:49	8349/8349	---M--	200	added ('OK')	text/plain	etag:%229632//flexpmd/bin/AC_OETags.js%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/AC_OETags.js	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/AC_OETags.js	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:50	5473/5473	---M--	200	added ('OK')	text/html	etag:%2215332//flexpmd/bin/flex-pmd-ruleset-creator-1.2-SNAPSHOT.html%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-ruleset-creator-1.2-SNAPSHOT.html	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-ruleset-creator-1.2-SNAPSHOT.html	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:51	5332/5332	---M--	200	added ('OK')	text/html	etag:%2217422//flexpmd/bin/flex-pmd-ruleset-creator.html%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-ruleset-creator.html	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-ruleset-creator.html	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:52	4571/4571	---M--	200	added ('OK')	text/html	etag:%2215054//flexpmd/bin/flex-pmd-violations-viewer.html%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-violations-viewer.html	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/flex-pmd-violations-viewer.html	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:52	657/657	---M--	200	added ('OK')	application/octet-stream	etag:%229632//flexpmd/bin/playerProductInstall.swf%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/playerProductInstall.swf	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/playerProductInstall.swf	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:53	25574/25574	---M--	200	added ('OK')	text/plain	etag:%2215333//flexpmd/bin/swfobject.js%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/swfobject.js	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/swfobject.js	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
11:09:54	479/479	---M--	200	added ('OK')	text/html	etag:W/%229632//flexpmd/bin/history%22	http://opensource.adobe.com/svn/opensource/flexpmd/bin/history/	D:/tools/flex-pmd-all-in-one-bundle-1.1/ruleset-creator/FlexPMDRulesetCreator/opensource.adobe.com/svn/opensource/flexpmd/bin/history/index.html	(from http://opensource.adobe.com/svn/opensource/flexpmd/bin/)
